ID,specid,Gaia_designation,R.A.,e_R.A.,decl.,e_decl.,S/N_r,Class,RV_LASP,e_RV_LASP,pmra,e_pmra,pmdec,e_pmdec,parallax,e_parallax,G,G_BP,G_RP,astrometric_flag,RV_LASP_Calibrated,r,el_r,eu_r,x,el_x,eu_x,y,el_y,eu_y,z,el_z,eu_z,r_GC,el_r_GC,eu_r_GC,Vx,el_Vx,eu_Vx,Vy,el_Vy,eu_Vy,Vz,el_Vz,eu_Vz,V_GC,el_V_GC,eu_V_GC,e,el_e,eu_e,Zmax,el_Zmax,eu_Zmax,r_min,el_r_min,eu_r_min,E_Phi_Infinity,el_E_Phi_Infinity,eu_E_Phi_Infinity,Vesc(W),Vesc(G),Vesc(Ke),Vesc(Ko),Vesc(P),Vesc(M),Vesc(X),Pgc,PMW,Pub(W),Pub(G),Pub(Ke),Pub(Ko),Pub(P),Pub(M),Pub(X),Origin_Class,Teff_LASP,e_Teff_LASP,log(g)_LASP,e_log(g)_LASP,[Fe/H]_LASP,e_[Fe/H]_LASP,Teff_DD-Payne,e_Teff_DD-Payne,log(g)_DD-Payne,e_log(g)_DD-Payne,[Fe/H]_DD-Payne,e_[Fe/H]_DD-Payne,Alpha_Fe_DD-Payne,e_Alpha_Fe_DD-Payne,conservative_results
Hivel149,20180211HD154844N180829V0207135_v2.9.7,Gaia DR2 1193446449488421504,239.0386512,0.016,16.73075432,0.0135,172,G6,-423,4,-17.616,0.026,3.541,0.024,0.169,0.025,13.39,13.93,12.72,1,-418,6,0.8,1.1,-4.6,0.5,0.7,2,0.3,0.4,4.3,0.5,0.8,6.6,0.1,0.2,-507,48,35,-147,46,33,51,45,64,532,45,69,0.99466,0.01861,0.00181,805,577.8,578,12.2,7.9,0.8,0.0001,0.0002,0.0004,633,615,609,577,545,532,505,0,1,0.094,0.132,0.145,0.262,0.426,0.505,0.703,RS,4803,27,2.23,0.04,-0.87,0.03,4813,31,2.27,0.07,-0.81,0.04,0.22,0.02,0
Hivel150,20161210HD111611S032819V0101004_v2.9.7,Gaia DR2 3784964943489710592,169.3562959,0.0377,-5.81537844,0.026,110,G3,124,7,22.575,0.077,-16.335,0.048,0.259,0.04,12.25,18.09,15.97,1,129,3.9,0.5,0.7,-8.4,0,0,-2.5,0.5,0.3,3,0.4,0.6,9.3,0.2,0.4,513,64,97,106,13,9,92,6,6,532,60,91,0.99257,0.01241,0.00259,688.1,392.8,180.3,22.5,3.5,5.6,0.0002,0.0003,0.0005,608,596,584,556,524,500,480,0,0.688,0.21,0.245,0.282,0.394,0.547,0.7,0.8,HRS,4851,96,2.08,0.16,-1.14,0.09,4842,48,2.09,0.12,-1.11,0.07,0.25,0.03,0
Hivel151,20140603VB231N08V112206_v2.9.7,Gaia DR2 1165512325790512896,233.1199049,0.0303,9.74765889,0.0222,20,Non,-207,10,-26.028,0.063,-1.244,0.056,0.187,0.036,15.23,13.34,12.19,1,-202,5.4,0.9,1.3,-4.8,0.6,0.8,1,0.2,0.2,4,0.7,0.9,6.3,0,0.1,-413,74,50,-247,110,79,225,62,88,532,100,148,0.99573,0.05783,0.00208,994.4,949.4,1755.9,4.3,1.5,2.1,0,0.0005,0.0009,637,619,613,581,548,535,508,0.001,1,0.218,0.256,0.268,0.35,0.445,0.488,0.588,RS,4989,304,2.37,0.49,-1.33,0.29,5110,143,2.36,0.37,-1.27,0.23,0.32,0.12,0
Hivel152,20140428HD161834N071537B04214_v2.9.7,Gaia DR2 4451839606395241216,244.656419,0.0189,7.62107313,0.0139,108,G3,67,7,-0.774,0.038,-23.35,0.025,0.166,0.029,14.62,18.12,15.75,1,73,6,0.9,1.3,-3.8,0.6,1,1.7,0.2,0.4,3.6,0.5,0.8,5.5,0,0.1,449,55,82,-217,103,70,-185,51,35,532,85,134,0.99345,0.01302,0.004,323.7,269.9,925.6,0.4,0.4,0.5,0,0.0004,0.0009,647,626,623,591,558,548,518,0.349,0.41,0.193,0.233,0.241,0.319,0.412,0.439,0.55,HVS,5194,36,3.09,0.06,-0.96,0.03,5202,35,3,0.09,-0.99,0.05,0.22,0.02,0
Hivel153,20130414HD151718N423357M0105234_v2.9.7,Gaia DR2 1392488565561508736,228.4779589,0.0126,41.65018606,0.0146,74,G3,-270,9,-2.356,0.027,-12.048,0.034,0.09,0.016,13.91,14.22,13.11,1,-265,11.2,1.8,2.5,-6,0.4,0.5,5.6,0.9,1.2,9.4,1.5,2.1,12.5,1.3,2,418,74,101,-321,94,71,-63,27,34,532,96,134,0.99152,0.02661,0.0029,86.5,54.3,148.3,381.7,372.7,445.7,0.0003,0.0005,0.0009,579,572,554,524,495,472,457,0.003,0.176,0.35,0.377,0.425,0.523,0.595,0.677,0.73,OUT,4930,62,2.21,0.1,-1.31,0.06,4984,56,2.22,0.13,-1.24,0.08,0.3,0.03,0
Hivel154,20180204HD112135N402551B0208079_v2.9.7,Gaia DR2 770340425062984704,172.0566768,0.0529,40.19367868,0.0573,11,F5,138,8,35.02,0.085,-36.332,0.109,0.447,0.074,16.6,14.11,12.44,1,144,2.2,0.3,0.5,-9,0.2,0.1,0.1,0,0,2.1,0.3,0.5,9.3,0.2,0.3,414,66,97,40,48,32,332,30,42,531,64,102,0.99196,0.02662,0.00335,1726.2,1342.4,997,11.4,0.7,1,0.0002,0.0003,0.0006,610,597,585,558,526,500,480,0,1,0.21,0.244,0.274,0.39,0.529,0.666,0.756,HRS,5877,48,4.26,0.09,-1.7,0.07,5886,111,4.21,0.38,-1.5,0.2,0.28,0.12,0
Hivel155,20130420HD163229N165051M0107169_v2.9.7,Gaia DR2 4462391894364204160,248.8980886,0.0125,14.89508271,0.0119,111,F2,-136,8,-18.485,0.026,-2.189,0.026,0.129,0.021,13.87,14.27,13.3,1,-130,7.7,1.1,1.6,-2.9,0.8,1.1,3.3,0.5,0.7,4.6,0.7,1,6.4,0.3,0.7,-199,26,19,-279,98,70,404,70,100,531,97,138,0.99411,0.08806,0.00274,1759.6,1680.8,2026.1,6.1,1.2,1.6,0.0001,0.0005,0.0008,635,616,611,578,546,535,508,0,1,0.229,0.275,0.287,0.357,0.442,0.487,0.586,HRS,5388,41,2.59,0.07,-1.14,0.04,5449,34,2.47,0.1,-1.19,0.06,0.25,0.03,0
Hivel156,20130210HD140137N164527F0113064_v2.9.7,Gaia DR2 1233088276073033344,212.8021258,0.0454,17.03273355,0.0417,19,A7V,-102,7,-40.918,0.105,2.087,0.092,0.298,0.053,15.47,14.21,13.36,1,-97,3.3,0.5,0.8,-7,0.2,0.3,0.2,0,0,3.1,0.5,0.7,7.7,0,0.1,-495,111,72,-144,89,59,119,32,47,530,89,140,0.99746,0.01983,0.00119,982.7,925.6,1051.8,3.1,1.5,2.4,0.0001,0.0005,0.0009,624,608,599,570,538,517,494,0.085,1,0.252,0.281,0.299,0.368,0.472,0.55,0.627,HRS,6220,30,3.78,0.07,-2.5,0,6364,127,4.04,0.36,-2.66,0.36,0.16,0.09,0
Hivel157,20160510HD175048N221858B0114132_v2.9.7,Gaia DR2 4580533903375688576,265.9628488,0.0106,23.31292958,0.0164,46,F2,-134,9,-4.641,0.023,-17.802,0.033,0.129,0.022,14.4,15.55,14.45,1,-129,7.7,1,1.7,-3.5,0.6,1,5.1,0.7,1.1,3.2,0.4,0.7,7,0.3,0.8,445,69,112,-266,92,62,-108,14,10,529,89,143,0.99325,0.02784,0.00325,218,174.4,328.6,1.8,0.7,2.2,0.0001,0.0005,0.0008,631,611,607,576,544,526,501,0.033,0.317,0.245,0.28,0.294,0.371,0.457,0.513,0.606,OUT,5532,115,2.73,0.19,-0.97,0.11,5466,58,2.3,0.17,-1.22,0.09,0.22,0.05,0
Hivel158,20150325HD133117N362849B0215028_v2.9.7,Gaia DR2 1475401844058846720,203.05423,0.0197,37.97040102,0.0156,78,G3,-31,8,-32.217,0.036,4.389,0.028,0.247,0.027,14.77,18.58,16.42,1,-25,4,0.4,0.5,-8.1,0,0,1,0.1,0.1,3.9,0.4,0.5,9.1,0.2,0.2,-520,63,51,-63,36,30,65,11,13,529,54,68,0.99666,0.00403,0.00096,1173.4,753.3,359.6,6.5,2.1,3,0.0002,0.0003,0.0004,609,596,584,555,524,501,482,0.032,1,0.139,0.169,0.218,0.343,0.536,0.676,0.812,HRS,5299,55,3.48,0.09,-0.87,0.05,5262,41,3.32,0.11,-0.92,0.06,0.25,0.03,0
