	ID	Origin_Class	G	G_BP	G_RP	Class	r	x	y	z	r_GC	Teff_LASP	Teff_DD-Payne	e_Teff_LASP	e_Teff_DD-Payne	[Fe/H]_LASP	[Fe/H]_DD-Payne	RV_LASP	V_GC	Vx	Vy	Vz	RV_LASP_Calibrated	Vesc(W)	Vesc(G)	Vesc(Ke)	Vesc(Ko)	Vesc(P)	Vesc(M)	Vesc(X)	Pgc	PMW	Pub(W)	Pub(G)	Pub(Ke)	Pub(Ko)	Pub(P)	Pub(M)	Pub(X)	Mabs	Luminosity	L_Lsun	Mass
265	Hivel266	OUT	13.25	16.96	14.29	G5	8.0	-5.4	5.5	5.1	9.3	4584	4760	22	36	-1.08	-0.99	-266	495	392	-299	-10	-260	606	593	581	551	520	499	480	0.016	0.331	0.08	0.105	0.132	0.22899999999999998	0.376	0.47	0.5770000000000001	-1.2654499349597188	9.170607076977745e+28	238.88010098926142	9.513341107897901e+30
267	Hivel268	HRS	13.33	15.71	15.04	F8	5.6	-9.1	0.1	5.5	10.6	5269	5239	24	42	-2.5	-2.38	263	495	203	-317	321	269	594	585	570	541	510	487	470	0.0	0.998	0.115	0.13699999999999998	0.17300000000000001	0.27399999999999997	0.41	0.5489999999999999	0.652	-0.4109401350310016	4.174401003230472e+28	108.73667630191383	7.597571679376377e+30
268	Hivel269	HVS	13.72	12.24	11.81	F5	5.7	-6.6	1.5	5.3	8.6	5764	5783	35	31	-1.17	-1.28	-132	495	453	-115	-159	-126	612	599	587	556	525	506	486	0.163	0.301	0.102	0.12	0.149	0.252	0.361	0.44	0.555	-0.05937427836245668	3.0197279828355176e+28	78.65923372845839	6.926213126267221e+30
269	Hivel270	HVS	16.51	18.64	16.23	Non	3.1	-7.2	1.3	2.7	7.8	6248	6043	452	124	-0.61	-0.9	-12	495	-423	46	256	-7	623	607	599	570	538	516	493	0.33899999999999997	1.0	0.102	0.124	0.139	0.212	0.317	0.41200000000000003	0.511	4.053191530828638	6.838195294100161e+26	1.7812438901016312	2.3468661989614682e+30
270	Hivel271	RS	15.32	15.2	14.17	A1IV	4.3	-4.7	0.9	2.3	5.3	10728	8067	147	167	-0.54	-1.18	-208	495	-232	-359	248	-203	654	630	629	598	566	552	520	0.0	1.0	0.134	0.16699999999999998	0.16699999999999998	0.23399999999999999	0.298	0.32899999999999996	0.41200000000000003	2.1526577221020666	3.936905799171982e+27	10.255029432591774	3.869832733948554e+30
272	Hivel273	HVS	16.13	15.19	14.05	F5	2.7	-7.8	-0.1	2.7	8.3	6083	6068	178	50	-1.18	-1.2	-28	494	484	-2	-91	-23	618	604	594	566	533	510	489	0.251	0.384	0.10099999999999999	0.121	0.142	0.21100000000000002	0.321	0.41600000000000004	0.526	3.9731811792050618	7.361149540426174e+26	1.917465366091736	2.3968031688926973e+30
273	Hivel274	RS	14.3	12.92	12.56	A2V	6.8	-4.9	5.3	-2.5	7.6	6613	7193	12	36	-2.1	-1.41	-361	493	-480	54	-99	-355	625	607	601	572	540	518	495	0.0	0.9990000000000001	0.098	0.127	0.133	0.193	0.29600000000000004	0.377	0.494	0.13745543646881941	2.5190450682334666e+28	65.61721980290353	6.576593918414163e+30
274	Hivel275	OUT	15.83	13.94	12.97	F0	3.4	-7.5	0.3	3.3	8.2	6296	6347	20	47	-2.27	-1.98	-135	493	-168	-462	-28	-129	618	604	594	565	533	511	489	0.0	0.424	0.16699999999999998	0.187	0.20800000000000002	0.273	0.355	0.43700000000000006	0.519	3.172605414788725	1.5387779208336815e+27	4.008277991231262	2.958875850641948e+30
275	Hivel276	RS	13.69	17.72	15.3	G3	4.7	-4.6	1.6	2.5	5.5	5017	5148	28	35	-1.65	-1.5	-368	493	48	-360	-332	-363	651	628	626	595	563	549	518	0.0	0.589	0.017	0.026000000000000002	0.028999999999999998	0.065	0.122	0.166	0.305	0.32951071032141144	2.1106383647953415e+28	54.97885816085808	6.252473394135177e+30
276	Hivel277	HVS	13.28	14.15	13.39	G5	6.5	-3.7	1.5	4.4	6.0	4622	4956	33	37	-1.6	-1.21	-8	493	396	-152	-250	-3	640	621	616	583	551	541	512	0.353	0.491	0.07400000000000001	0.092	0.10400000000000001	0.174	0.254	0.284	0.413	-0.7845667832142791	5.889044355808724e+28	153.4004781403679	8.382527647215211e+30
